TransactionID,CustomerID,ProductID,Date,Quantity,TotalAmount
1,524,148,12/26/2024,1,53191.96
2,391,199,10/8/2023,4,114830.44
3,702,161,5/28/2025,5,828947.5
4,56,7,10/1/2023,3,240832.5
5,208,227,9/23/2024,2,408734.54
6,649,189,10/12/2024,5,830035.4
7,560,101,6/11/2024,2,381696.2
8,302,230,1/7/2024,2,224087
9,700,39,1/20/2024,2,456802.96
10,178,264,7/12/2024,1,209784.62
11,387,21,6/18/2024,4,384277.4
12,286,285,12/23/2023,3,422366.73
13,134,83,1/29/2025,5,237479.2
14,262,3,5/14/2025,3,95950.23
15,478,80,2/18/2024,1,16427.34
16,158,166,1/7/2025,5,981488.2
17,53,155,3/20/2025,4,50138.6
18,587,282,6/19/2024,3,736029.63
19,75,163,8/16/2024,5,524985.15
20,226,95,8/22/2023,5,1133391.8
21,70,259,6/4/2025,2,229236.56
22,426,279,6/6/2025,5,791647.65
23,414,48,9/22/2023,3,26253.69
24,227,110,1/26/2024,3,54804.99
25,340,185,7/20/2024,3,271120.68
26,224,272,4/29/2025,4,916078.44
27,575,5,3/24/2025,1,50878.86
28,685,178,4/22/2025,4,949547.12
29,247,125,7/6/2024,1,32786.79
30,699,165,6/13/2025,4,119499.08
31,117,198,11/29/2023,3,600224.46
32,554,145,8/16/2025,1,41638.44
33,530,192,11/28/2024,5,1098398.25
34,521,229,11/27/2024,4,449202.4
35,45,152,5/30/2025,2,385853.58
36,329,264,5/7/2025,1,209784.62
37,99,86,6/24/2025,5,506612.8
38,547,4,9/6/2024,1,20052.95
39,216,110,6/16/2025,4,73073.32
40,107,106,9/26/2024,5,466173.85
41,720,223,10/15/2024,1,80498.14
42,765,79,8/27/2023,1,171261.08
43,471,170,10/20/2024,1,176007.47
44,90,38,7/7/2025,1,47389.95
45,183,129,12/25/2024,5,668393.8
46,73,295,3/8/2024,2,345606.84
47,265,209,4/25/2025,4,263089.64
48,462,208,1/22/2025,4,441806.52
49,324,9,12/18/2024,4,398560.28
50,690,61,3/14/2025,5,1071746.2
51,7,33,5/10/2024,5,1215689.55
52,47,38,7/21/2025,3,142169.85
53,515,55,1/1/2024,3,440779.86
54,703,155,8/1/2024,5,62673.25
55,89,145,6/28/2024,4,166553.76
56,391,203,3/6/2024,1,169759.09
57,486,81,11/21/2023,5,801641.95
58,226,70,11/11/2024,4,424959.2
59,559,152,2/3/2024,2,385853.58
60,306,192,11/29/2023,1,219679.65
61,567,285,6/1/2025,2,281577.82
62,127,22,11/22/2023,1,143219.8
63,587,202,2/6/2024,5,604636.9
64,561,44,6/10/2025,3,303433.77
65,216,177,7/3/2024,2,334841.94
66,423,263,8/14/2024,2,277059.94
67,165,95,1/21/2025,2,453356.72
68,632,130,2/24/2025,2,475084.24
69,118,93,6/18/2025,5,908870.95
70,56,282,8/16/2024,4,981372.84
71,661,282,5/29/2025,1,245343.21
72,298,35,6/10/2025,3,580862.13
73,101,102,3/24/2025,5,1183786.9
74,499,170,12/20/2023,3,528022.41
75,132,121,2/27/2025,1,1676.02
76,292,36,11/5/2024,2,135440.58
77,326,249,8/4/2024,4,897083.36
78,337,157,4/8/2024,5,156684.85
79,157,290,6/20/2025,5,135321.9
80,374,162,5/24/2025,4,623552.2
81,173,3,7/7/2025,3,95950.23
82,253,114,9/24/2023,4,139090.52
83,284,185,5/8/2025,2,180747.12
84,696,170,12/29/2023,4,704029.88
85,474,229,1/7/2024,3,336901.8
86,794,157,10/6/2024,4,125347.88
87,565,56,5/7/2025,2,172780.26
88,662,42,10/14/2024,3,387179.37
89,144,276,5/21/2024,2,206960
90,270,40,9/21/2023,1,185365.73
91,20,260,8/29/2024,1,239069.49
92,596,297,7/5/2024,4,34241.76
93,788,109,6/9/2025,1,145288.12
94,565,134,2/21/2025,5,284766.45
95,553,242,10/2/2023,2,300375.62
96,375,201,1/17/2025,2,52752.84
97,791,149,5/10/2024,2,295256.72
98,476,257,5/25/2025,5,1158466.6
99,93,204,8/30/2024,3,459075.39
100,515,6,6/14/2024,2,417219.96
101,629,85,8/29/2024,5,1007273.7
102,144,229,12/21/2023,2,224601.2
103,184,290,2/9/2024,5,135321.9
104,676,75,6/4/2025,4,585318.2
105,368,21,6/3/2025,2,192138.7
106,780,250,5/20/2024,2,71084.14
107,65,136,1/29/2025,3,288587.52
108,240,22,1/28/2024,2,286439.6
109,531,185,8/7/2025,4,361494.24
110,481,233,7/14/2024,1,9440.07
111,41,166,2/10/2025,1,196297.64
112,721,267,10/16/2024,3,548275.26
113,760,135,1/6/2025,5,391835.1
114,558,292,12/28/2024,2,100751.3
115,386,194,5/29/2024,3,138377.76
116,602,40,9/23/2024,5,926828.65
117,258,193,11/6/2024,2,186938.46
118,529,208,9/13/2024,3,331354.89
119,354,250,8/14/2024,4,142168.28
120,619,4,7/15/2025,5,100264.75
121,143,226,9/3/2024,2,322015.34
122,236,40,2/21/2025,5,926828.65
123,659,144,11/17/2023,2,180266.2
124,154,96,6/24/2024,2,254150.12
125,371,61,6/26/2024,2,428698.48
126,425,170,11/2/2024,1,176007.47
127,494,246,5/28/2025,4,830224.12
128,216,83,9/22/2024,4,189983.36
129,23,125,1/3/2025,1,32786.79
130,131,294,6/10/2025,5,185169.4
131,165,69,3/1/2025,5,891643.75
132,41,294,5/13/2024,2,74067.76
133,58,86,7/19/2024,3,303967.68
134,185,265,4/10/2024,4,924522.12
135,614,289,12/16/2024,1,202172.04
136,737,146,6/2/2025,1,5271.62
137,222,230,4/15/2025,5,560217.5
138,483,247,12/27/2023,2,274297.6
139,225,211,4/29/2025,5,959992.1
140,147,299,7/23/2025,2,432555.9
141,639,262,8/5/2024,3,398477.7
142,172,176,11/21/2023,4,907066.28
143,611,36,9/16/2024,2,135440.58
144,388,198,10/8/2023,2,400149.64
145,112,9,12/16/2023,2,199280.14
146,536,259,2/3/2024,4,458473.12
147,154,50,5/17/2024,2,137714.78
148,488,20,2/25/2025,5,1097672.2
149,516,61,4/29/2025,1,214349.24
150,494,67,1/3/2025,5,1001578.85
151,553,1,6/28/2025,4,949163.36
152,535,216,6/3/2025,3,362224.35
153,45,272,4/28/2025,4,916078.44
154,235,247,12/29/2024,4,548595.2
155,359,295,1/22/2024,1,172803.42
156,436,69,2/15/2025,3,534986.25
157,489,120,2/23/2025,1,78696.81
158,291,279,7/21/2025,4,633318.12
159,264,97,1/28/2025,1,210239.35
160,727,4,10/11/2024,5,100264.75
161,536,61,9/22/2024,5,1071746.2
162,8,193,5/22/2024,2,186938.46
163,705,162,10/1/2023,4,623552.2
164,371,55,12/22/2023,2,293853.24
165,437,300,11/5/2024,3,292581.66
166,268,275,2/8/2025,4,805187.24
167,579,188,12/15/2023,5,14566.25
168,283,204,2/6/2025,2,306050.26
169,424,283,10/17/2023,5,631107.05
170,495,92,2/8/2024,3,612287.01
171,573,285,8/28/2023,4,563155.64
172,260,158,12/28/2023,5,594309.45
173,353,204,6/24/2025,2,306050.26
174,676,61,10/9/2024,2,428698.48
175,458,83,12/3/2024,1,47495.84
176,220,261,1/19/2024,4,963927.04
177,347,282,1/22/2024,5,1226716.05
178,714,27,8/13/2024,2,345566.36
179,399,3,3/11/2024,1,31983.41
180,149,242,6/23/2025,5,750939.05
181,446,46,4/22/2025,1,43847.47
182,270,114,3/28/2024,3,104317.89
183,82,20,4/20/2025,4,878137.76
184,411,267,7/4/2024,3,548275.26
185,729,30,2/20/2024,2,169595.18
186,656,254,8/8/2025,4,217158.32
187,11,104,6/23/2025,5,445716.05
188,293,100,12/21/2023,1,181434.07
189,614,262,10/17/2024,5,664129.5
190,716,119,10/6/2023,5,417455.25
191,174,19,12/31/2024,3,650805.24
192,245,1,8/5/2024,2,474581.68
193,89,142,11/4/2023,4,888198.08
194,362,203,5/3/2025,4,679036.36
195,601,103,6/3/2025,5,818907.2
196,16,36,9/8/2024,1,67720.29
197,563,146,10/6/2023,5,26358.1
198,597,179,11/28/2024,3,57673.59
199,284,116,7/23/2025,5,1116324.3
200,200,233,10/3/2024,4,37760.28
201,589,3,6/14/2025,3,95950.23
202,180,209,6/8/2024,5,328862.05
203,110,287,2/9/2025,1,168723.75
204,516,151,7/9/2024,3,282331.53
205,120,263,8/5/2024,3,415589.91
206,551,295,11/26/2023,3,518410.26
207,711,227,9/10/2023,4,817469.08
208,577,248,9/23/2023,2,351345.94
209,776,174,5/10/2025,4,331942.4
210,698,236,3/29/2024,5,797828.8
211,29,247,10/28/2023,1,137148.8
212,265,35,5/24/2025,4,774482.84
213,649,113,2/12/2024,2,27976.92
214,324,212,3/15/2025,3,543244.5
215,529,275,12/31/2024,1,201296.81
216,718,135,11/9/2024,2,156734.04
217,295,48,9/28/2023,4,35004.92
218,690,176,2/10/2024,1,226766.57
219,568,92,7/26/2025,4,816382.68
220,322,182,5/14/2025,2,132798.38
221,588,138,12/10/2023,2,412098.08
222,765,98,4/26/2025,4,182773.6
223,755,103,10/22/2024,2,327562.88
224,754,124,5/7/2025,3,367948.44
225,212,118,3/18/2024,2,389691.64
226,256,183,12/7/2024,2,50804.64
227,798,55,2/1/2025,1,146926.62
228,81,253,10/18/2023,5,1162944.8
229,7,278,2/25/2024,1,215246.53
230,494,191,11/17/2023,5,1193973.7
231,323,253,1/17/2024,5,1162944.8
232,282,252,5/5/2025,2,98764.82
233,783,262,10/12/2024,3,398477.7
234,408,114,10/12/2024,5,173863.15
235,132,28,2/16/2025,5,932822.9
236,434,245,5/6/2024,5,5240.7
237,34,258,5/21/2024,3,93729.57
238,404,90,3/13/2024,4,405789.68
239,124,266,6/10/2024,4,692434.08
240,324,5,3/29/2025,1,50878.86
241,691,108,9/11/2024,4,471595.48
242,595,52,9/24/2024,3,511359
243,371,133,7/12/2024,2,313716.78
244,562,135,10/13/2023,2,156734.04
245,276,242,11/8/2024,5,750939.05
246,352,188,5/30/2025,2,5826.5
247,511,218,4/24/2024,2,446138.88
248,430,191,10/31/2023,3,716384.22
249,411,144,8/24/2024,4,360532.4
250,185,293,12/27/2023,2,491782.66
251,590,118,9/16/2023,1,194845.82
252,739,139,11/9/2024,2,474283.22
253,569,222,9/9/2024,4,76715.52
254,201,75,6/21/2024,2,292659.1
255,485,5,7/24/2025,2,101757.72
256,432,256,9/6/2023,2,378817.52
257,646,265,8/29/2024,5,1155652.65
258,738,162,11/7/2024,4,623552.2
259,308,129,9/25/2023,5,668393.8
260,582,25,6/10/2024,4,609437.96
261,102,84,12/13/2023,1,191485.86
262,221,131,12/5/2023,4,757334.04
263,645,50,7/13/2024,4,275429.56
264,763,172,12/25/2023,3,373021.5
265,370,185,11/23/2024,5,451867.8
266,571,132,11/13/2023,3,144146.67
267,21,211,8/25/2024,1,191998.42
268,360,102,4/5/2025,5,1183786.9
269,590,276,5/5/2024,2,206960
270,800,146,4/1/2024,3,15814.86
271,333,262,2/7/2025,4,531303.6
272,794,229,3/19/2024,1,112300.6
273,391,147,3/15/2024,4,727714.48
274,647,75,4/10/2024,2,292659.1
275,656,173,9/13/2024,4,688827.52
276,647,293,1/19/2025,4,983565.32
277,74,41,5/27/2024,2,433727.3
278,352,117,3/17/2025,3,108703.29
279,325,150,9/9/2023,3,93686.73
280,620,203,7/3/2024,3,509277.27
281,456,186,7/28/2024,5,533929
282,534,231,12/2/2024,4,980709.4
283,172,95,12/23/2024,1,226678.36
284,129,121,9/17/2024,3,5028.06
285,762,41,8/31/2023,2,433727.3
286,171,204,2/4/2024,1,153025.13
287,98,33,3/30/2025,4,972551.64
288,562,28,2/12/2024,1,186564.58
289,790,204,2/5/2024,5,765125.65
290,784,43,9/2/2024,1,16871.43
291,269,80,4/16/2024,1,16427.34
292,671,200,12/10/2023,3,736204.53
293,235,127,3/19/2025,3,322625.55
294,454,65,3/24/2025,2,237574.5
295,540,88,12/23/2023,1,164022.44
296,36,183,9/10/2023,3,76206.96
297,488,240,9/20/2024,5,1055786
298,279,281,9/16/2023,4,687238.08
299,139,277,3/18/2025,2,150157.66
300,606,234,10/18/2024,5,2711.7
301,446,269,9/26/2024,5,758685.55
302,318,178,3/21/2024,4,949547.12
303,553,117,11/28/2024,1,36234.43
304,453,158,11/15/2023,3,356585.67
305,423,134,6/4/2025,2,113906.58
306,311,6,5/3/2025,1,208609.98
307,536,70,2/20/2024,3,318719.4
308,294,241,10/23/2024,5,701288.2
309,9,252,11/16/2024,4,197529.64
310,307,5,2/19/2024,4,203515.44
311,300,119,10/25/2024,1,83491.05
312,562,192,1/29/2025,2,439359.3
313,422,288,11/18/2023,4,287356.12
314,405,128,3/15/2025,2,192274.9
315,733,200,8/15/2025,4,981606.04
316,226,135,5/21/2024,1,78367.02
317,433,123,3/26/2024,5,721407.95
318,783,140,8/21/2025,3,546282.18
319,665,273,11/23/2023,3,206286.51
320,423,97,3/18/2024,1,210239.35
321,187,70,10/25/2024,3,318719.4
322,114,234,5/29/2024,5,2711.7
323,464,140,5/15/2024,5,910470.3
324,504,97,7/28/2024,3,630718.05
325,20,78,12/29/2023,1,152458
326,548,12,1/17/2024,2,393488.76
327,105,145,8/18/2025,3,124915.32
328,129,225,9/2/2023,1,126978.87
329,239,47,7/21/2025,2,418651.36
330,16,253,11/24/2023,2,465177.92
331,351,216,7/19/2024,3,362224.35
332,511,191,10/3/2024,4,955178.96
333,714,17,10/18/2023,3,693808.74
334,83,75,6/27/2025,1,146329.55
335,273,201,1/13/2024,1,26376.42
336,557,241,11/3/2023,2,280515.28
337,197,129,8/26/2024,4,534715.04
338,13,63,8/17/2025,2,326142.08
339,395,227,6/19/2024,2,408734.54
340,756,18,1/11/2024,2,389992.8
341,472,49,1/19/2024,5,1147743.75
342,682,107,4/22/2024,4,295463
343,399,160,9/24/2024,3,226885.68
344,163,22,11/18/2023,5,716099
345,534,63,6/18/2025,3,489213.12
346,493,153,7/23/2025,2,25244.9
347,370,27,2/18/2025,2,345566.36
348,116,121,11/15/2024,4,6704.08
349,333,8,4/6/2024,2,44426.7
350,283,300,6/24/2024,1,97527.22
351,406,125,12/28/2023,1,32786.79
352,44,298,1/8/2025,4,104275.04
353,705,80,4/27/2025,3,49282.02
354,790,46,5/7/2024,2,87694.94
355,162,256,9/14/2023,1,189408.76
356,703,174,8/29/2023,1,82985.6
357,62,183,11/19/2024,2,50804.64
358,719,275,12/6/2024,1,201296.81
359,129,250,10/5/2024,2,71084.14
360,325,286,6/16/2025,3,428622.69
361,450,99,5/6/2025,1,117959.83
362,706,194,4/8/2024,3,138377.76
363,742,69,6/25/2024,3,534986.25
364,41,249,10/20/2023,4,897083.36
365,573,151,3/16/2024,5,470552.55
366,714,251,10/9/2023,2,54373.8
367,581,96,8/6/2025,5,635375.3
368,357,166,2/16/2025,4,785190.56
369,282,284,6/1/2025,2,355466.02
370,71,272,9/13/2023,2,458039.22
371,461,152,7/24/2025,3,578780.37
372,555,188,6/6/2025,4,11653
373,1,260,5/14/2025,4,956277.96
374,752,95,12/5/2024,1,226678.36
375,635,187,9/3/2023,5,121010.6
376,245,165,3/25/2024,1,29874.77
377,675,276,2/8/2024,4,413920
378,195,269,1/28/2025,4,606948.44
379,785,283,6/25/2024,2,252442.82
380,628,145,10/24/2023,3,124915.32
381,420,165,12/6/2024,1,29874.77
382,99,268,10/14/2024,1,26336.71
